"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1611340","occ","","","39159","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Carnian","","237","228","83018"
"1611342","occ","","","224084","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Carnian","","237","228","83019"
"1611343","occ","","","224084","Palaeolimnadia sp.","genus","399423","","Palaeolimnadia","genus","399423","Carnian","","237","228","83019"
"1611395","occ","","","227832","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","83025"
"1611398","occ","","","227832","Palaeolimnadia sp.","genus","399423","","Palaeolimnadia","genus","399423","Norian","","228","208.5","83025"
"1633716","occ","","","231619","Lioestheria sp. A informal","genus","222093","obsolete variant of","Lioestheria","genus","179624","Tithonian","","152.1","145","81134"
"1633717","occ","","","231619","Lioestheria sp. B informal","genus","222093","obsolete variant of","Lioestheria","genus","179624","Tithonian","","152.1","145","81134"
"1633718","occ","","","231619","Lioestheria tendagurensis","species","222093","species not entered","Lioestheria","genus","179624","Tithonian","","152.1","145","81134"
"1633720","occ","","","70031","Lioestheria sp. A informal","genus","222093","obsolete variant of","Lioestheria","genus","179624","Late Kimmeridgian","Tithonian","155.7","145","81134"
"1633721","occ","","","70031","Lioestheria sp. B informal","genus","222093","obsolete variant of","Lioestheria","genus","179624","Late Kimmeridgian","Tithonian","155.7","145","81134"
"1640822","occ","","","232614","Pseudestheria tenella","species","291086","","Pseudestheria tenella","species","237027","Asselian","","298.9","295.5","86761"
"1640823","occ","","","232614","Pseudestheria aff. breitenbachensis","species","222092","species not entered","Pseudestheria","genus","222092","Asselian","","298.9","295.5","86761"
"1643393","occ","","","232996","Pseudestheria aff. breitenbachensis","species","222092","species not entered","Pseudestheria","genus","222092","Asselian","","298.9","295.5","87150"
"1643394","occ","","","232996","Lioestheriidae indet.","family","198363","","Lioestheriidae","family","198363","Asselian","","298.9","295.5","87150"
